Id,Date,TotalSteps
1503960366,2016-4-12,13162
1503960366,2016-4-13,10735
1503960366,2016-4-14,10460
1503960366,2016-4-15,9762
1503960366,2016-4-16,12669
1503960366,2016-4-17,9705
1503960366,2016-4-18,13019
1503960366,2016-4-19,15506
1503960366,2016-4-20,10544
1503960366,2016-4-21,9819
1503960366,2016-4-22,12764
1503960366,2016-4-23,14371
1503960366,2016-4-24,10039
1503960366,2016-4-25,15355
1503960366,2016-4-26,13755
1503960366,2016-4-27,18134
1503960366,2016-4-28,13154
1503960366,2016-4-29,11181
1503960366,2016-4-30,14673
1503960366,2016-5-1,10602
1503960366,2016-5-10,12207
1503960366,2016-5-11,12770
1503960366,2016-5-12,0
1503960366,2016-5-2,14727
1503960366,2016-5-3,15103
1503960366,2016-5-4,11100
1503960366,2016-5-5,14070
1503960366,2016-5-6,12159
1503960366,2016-5-7,11992
1503960366,2016-5-8,10060
1503960366,2016-5-9,12022
1624580081,2016-4-12,8163
1624580081,2016-4-13,7007
1624580081,2016-4-14,9107
1624580081,2016-4-15,1510
1624580081,2016-4-16,5370
1624580081,2016-4-17,6175
1624580081,2016-4-18,10536
1624580081,2016-4-19,2916
1624580081,2016-4-20,4974
1624580081,2016-4-21,6349
1624580081,2016-4-22,4026
1624580081,2016-4-23,8538
1624580081,2016-4-24,6076
1624580081,2016-4-25,6497
1624580081,2016-4-26,2826
1624580081,2016-4-27,8367
1624580081,2016-4-28,2759
1624580081,2016-4-29,2390
1624580081,2016-4-30,6474
1624580081,2016-5-1,36019
1624580081,2016-5-10,2969
1624580081,2016-5-11,3134
1624580081,2016-5-12,2971
1624580081,2016-5-2,7155
1624580081,2016-5-3,2100
1624580081,2016-5-4,2193
1624580081,2016-5-5,2470
1624580081,2016-5-6,1727
1624580081,2016-5-7,2104
1624580081,2016-5-8,3427
1624580081,2016-5-9,1732
1644430081,2016-4-12,10694
1644430081,2016-4-13,8001
1644430081,2016-4-14,11037
1644430081,2016-4-15,5263
1644430081,2016-4-16,15300
1644430081,2016-4-17,8757
1644430081,2016-4-18,7132
1644430081,2016-4-19,11256
1644430081,2016-4-20,2436
1644430081,2016-4-21,1223
1644430081,2016-4-22,3673
1644430081,2016-4-23,6637
1644430081,2016-4-24,3321
1644430081,2016-4-25,3580
1644430081,2016-4-26,9919
1644430081,2016-4-27,3032
1644430081,2016-4-28,9405
1644430081,2016-4-29,3176
1644430081,2016-4-30,18213
1644430081,2016-5-1,6132
1644430081,2016-5-10,9167
1644430081,2016-5-11,1329
1644430081,2016-5-2,3758
1644430081,2016-5-3,12850
1644430081,2016-5-4,2309
1644430081,2016-5-5,4363
1644430081,2016-5-6,9787
1644430081,2016-5-7,13372
1644430081,2016-5-8,6724
1644430081,2016-5-9,6643
1844505072,2016-4-12,6697
1844505072,2016-4-13,4929
1844505072,2016-4-14,7937
1844505072,2016-4-15,3844
1844505072,2016-4-16,3414
1844505072,2016-4-17,4525
1844505072,2016-4-18,4597
1844505072,2016-4-19,197
1844505072,2016-4-20,8
1844505072,2016-4-21,8054
1844505072,2016-4-22,5372
1844505072,2016-4-23,3570
1844505072,2016-4-24,0
1844505072,2016-4-25,0
1844505072,2016-4-26,0
1844505072,2016-4-27,4
1844505072,2016-4-28,6907
1844505072,2016-4-29,4920
1844505072,2016-4-30,4014
1844505072,2016-5-1,2573
1844505072,2016-5-10,0
1844505072,2016-5-11,0
1844505072,2016-5-12,0
1844505072,2016-5-2,0
1844505072,2016-5-3,4059
1844505072,2016-5-4,2080
1844505072,2016-5-5,2237
1844505072,2016-5-6,44
1844505072,2016-5-7,0
1844505072,2016-5-8,0
1844505072,2016-5-9,0
1927972279,2016-4-12,678
1927972279,2016-4-13,356
1927972279,2016-4-14,2163
1927972279,2016-4-15,980
1927972279,2016-4-16,0
1927972279,2016-4-17,0
1927972279,2016-4-18,244
1927972279,2016-4-19,0
1927972279,2016-4-20,0
1927972279,2016-4-21,0
1927972279,2016-4-22,149
1927972279,2016-4-23,2945
1927972279,2016-4-24,2090
1927972279,2016-4-25,152
1927972279,2016-4-26,3761
1927972279,2016-4-27,0
1927972279,2016-4-28,1675
1927972279,2016-4-29,0
1927972279,2016-4-30,0
1927972279,2016-5-1,2704
1927972279,2016-5-10,0
1927972279,2016-5-11,0
1927972279,2016-5-12,0
1927972279,2016-5-2,3790
1927972279,2016-5-3,1326
1927972279,2016-5-4,1786
1927972279,2016-5-5,0
1927972279,2016-5-6,2091
1927972279,2016-5-7,1510
1927972279,2016-5-8,0
1927972279,2016-5-9,0
2022484408,2016-4-12,11875
2022484408,2016-4-13,12024
2022484408,2016-4-14,10690
2022484408,2016-4-15,11034
2022484408,2016-4-16,10100
2022484408,2016-4-17,15112
2022484408,2016-4-18,14131
2022484408,2016-4-19,11548
2022484408,2016-4-20,15112
2022484408,2016-4-21,12453
2022484408,2016-4-22,12954
2022484408,2016-4-23,6001
2022484408,2016-4-24,13481
2022484408,2016-4-25,11369
2022484408,2016-4-26,10119
2022484408,2016-4-27,10159
2022484408,2016-4-28,10140
2022484408,2016-4-29,10245
2022484408,2016-4-30,18387
2022484408,2016-5-1,10538
2022484408,2016-5-10,12798
2022484408,2016-5-11,13272
2022484408,2016-5-12,9117
2022484408,2016-5-2,10379
2022484408,2016-5-3,12183
2022484408,2016-5-4,11768
2022484408,2016-5-5,11895
2022484408,2016-5-6,10227
2022484408,2016-5-7,6708
2022484408,2016-5-8,3292
2022484408,2016-5-9,13379
2026352035,2016-4-12,4414
2026352035,2016-4-13,4993
2026352035,2016-4-14,3335
2026352035,2016-4-15,3821
2026352035,2016-4-16,2547
2026352035,2016-4-17,838
2026352035,2016-4-18,3325
2026352035,2016-4-19,2424
2026352035,2016-4-20,7222
2026352035,2016-4-21,2467
2026352035,2016-4-22,2915
2026352035,2016-4-23,12357
2026352035,2016-4-24,3490
2026352035,2016-4-25,6017
2026352035,2016-4-26,5933
2026352035,2016-4-27,6088
2026352035,2016-4-28,6375
2026352035,2016-4-29,7604
2026352035,2016-4-30,4729
2026352035,2016-5-1,3609
2026352035,2016-5-10,254
2026352035,2016-5-11,8580
2026352035,2016-5-12,8891
2026352035,2016-5-2,7018
2026352035,2016-5-3,5992
2026352035,2016-5-4,6564
2026352035,2016-5-5,12167
2026352035,2016-5-6,8198
2026352035,2016-5-7,4193
2026352035,2016-5-8,5528
2026352035,2016-5-9,10685
2320127002,2016-4-12,10725
2320127002,2016-4-13,7275
2320127002,2016-4-14,3973
2320127002,2016-4-15,5205
2320127002,2016-4-16,5057
2320127002,2016-4-17,6198
2320127002,2016-4-18,6559
